decision_id,decision,rationale,scope_impact,evidence_status,accountable_owner,decision_status,review_trigger
D01,"ContinuumOS is a vendor-neutral care-orchestration overlay and not a system-of-record replacement.","The case addresses fragmented responsibility and workflow visibility while preserving EHR LIS RIS/PACS and other source-system roles.","Prevents EHR replacement scope and keeps source-of-truth mapping explicit.","Product decision","Product owner","Recorded for Sprint 1","Review only if the approved product boundary changes."
D02,"Use a SMART on FHIR launch demonstration with limited synthetic FHIR data.","This gives a clinician-facing entry into the synthetic episode without claiming a production interoperability implementation.","Limits the case to a high-level launch demonstration; detailed scopes field mapping and implementation design are deferred.","Product decision","Product owner","Recorded for Sprint 1","Review during later interoperability design."
D03,"Use the diagnostic-closure and care-escalation wedge from order through human-confirmed next step.","The wedge is narrow enough for a seven-day case and exposes the core result-to-action ownership gap.","Allows clinic management day-care referral and hospital escalation; excludes surgery discharge and home recovery.","Product decision","Product owner","Recorded for Sprint 1","Review only if the MVP start or end boundary changes."
D04,"Use synthetic data and simulated integrations only.","The portfolio case must not use real patient payer provider or credential information.","All source records AI evaluations and scenario evidence remain synthetic.","Product decision","Product owner","Recorded for Sprint 1","Review only with explicit approved data-governance scope change."
D05,"Use deterministic rules for predictable workflow conditions and reserve MVP AI for source-linked synthesis and human-approved referral-handoff preparation.","Missing owner missed SLA overdue acknowledgement and duplicate indicators are more transparent as rules; the MVP AI adds value for source-linked context and handoff preparation.","Prevents simple deterministic checks and hidden prioritisation from being misrepresented as MVP AI capability.","Product decision","Product owner","Recorded for Sprint 1","Review if a capability changes decision rights or safety controls."
D06,"Use two MVP AI capabilities: source-linked episode summary and referral handoff draft after human-approved referral or escalation.","The summary makes episode facts, status, report version, open tasks and missing or conflicting source information visible. The draft supports preparation only after a human approves the referral direction.","Operational-attention recommendations remain roadmap or optional evaluation material; autonomous diagnosis clinical prioritisation referral approval and financial authorisation remain excluded.","Product decision","Product owner","Recorded for Sprint 1","Review after synthetic evaluation evidence is available."
D07,"Require human approval before an AI handoff package or patient-facing clinical content is used operationally.","AI drafts may assist preparation but cannot authorise referral routing or patient communication.","The Referral Coordinator approves an operational handoff package; the clinic physician approves patient-facing clinical content where clinical context is present. Approval, correction, rejection and override evidence are required.","Product decision","Product owner; Referral Coordinator for handoff; Clinic physician for clinical content","Recorded for Sprint 1","Review only if governance requirements become more restrictive."
D08,"Treat an enterprise event platform as architecture context only.","Kafka Flink and similar technologies do not need to be built to demonstrate the product case.","No enterprise event backbone is implemented in the seven-day case.","Roadmap item","Product owner","Recorded for Sprint 1","Review in architecture sprint."
D09,"Treat a longitudinal record as a future product option and not the primary clinical record for this MVP.","The case needs a shared workflow view not a replacement clinical repository.","Keeps longitudinal data-platform work out of the current scope.","Roadmap item","Product owner","Recorded for Sprint 1","Review in future product-strategy work."
D10,"Use human-confirmed diagnostic next step within the defined workflow SLA and supporting safety workflow and AI evaluation measures.","The measurement model must show diagnostic closure while preventing speed claims from masking unsafe linkage incomplete audit evidence or missing human approval.","Defines metrics as calculation methods and validation requirements; no baseline target or achieved outcome is claimed.","Product decision","Product owner with Care Coordinator representative","Recorded for Sprint 1","Review when synthetic acceptance evidence and policy-defined thresholds are available."
D11,"Use Commure SuperOS Philips MIOT/IASORA and openEHR only as external design and architecture references.","ContinuumOS is an independent vendor-neutral product case. Reference patterns may inform framing but their capabilities integrations outcomes or implementation maturity must not be claimed as ContinuumOS work.","Protects the portfolio case from borrowed-credibility claims and prevents vendor-specific scope or implementation assumptions.","Product decision","Product owner","Recorded for Sprint 1","Review before any external-facing artifact cites or compares a vendor reference."
D12,"For urgent, human-approved hospital escalation, allow Next Step Confirmed while Financial Readiness Pending remains visible and unresolved once clinical direction, receiving-team handoff, accountable owner, timeframe and patient communication are confirmed.","Urgent clinical progression must not be blocked by supporting administrative readiness work.","Adds a controlled urgent branch from Referral Accepted to Next Step Confirmed; financial readiness remains visible and is not treated as complete.","Proposed operating policy","Clinic physician and receiving team for human gates; Care Coordinator for closure evidence","Recorded for Sprint 2 alignment; not implemented","Requires clinical, operational and financial review before implementation."
D13,"Treat MVP AI support as optional to canonical workflow progression and fall back to source evidence and the normal human workflow when AI fails, times out or is unavailable.","The two AI capabilities are assistive and must not become dependencies for acknowledgement, care direction, handoff, receiving response or closure.","Requires visible AI failure evidence and a non-blocking human fallback; does not add an AI or workflow capability.","Product decision","Product owner; accountable workflow owner for fallback","Recorded during Sprint 4 architecture alignment; not implemented","Review if an AI output is proposed as a mandatory workflow prerequisite."
D14,"For the approved synthetic fixture, require an accepted current DiagnosticReport status (final, amended or corrected), the current source version, resolution of configured required result references and separate source-specific completion evidence before Result Available; Observation or preliminary/partial evidence alone is insufficient.","A structured Observation or preliminary/partial report can exist without a complete, current or reviewable diagnostic report.","Refines T04/E04 as a fixture completion rule, not a universal FHIR requirement; incomplete or inconsistent configured evidence routes to Result Incomplete.","Product decision; validation requirement","Diagnostic operations user; authorised reporting source","Recorded during Sprint 4 architecture alignment; not implemented","Review during UAT and before adapting the demonstration to a source with a different report-status policy."
D15,"Apply minimum-necessary data to source retrieval, display, internal retention, audit payloads and AI inputs.","Least privilege does not by itself prevent unnecessary copying of complete clinical records.","ContinuumOS retains only scoped synthetic orchestration and evidence fields and references source records rather than becoming a duplicate clinical repository.","Product decision","Product owner; product/platform administrator for design controls","Recorded during Sprint 4 architecture alignment; not implemented","Review if a new field, full-document copy or expanded AI input is proposed."
D16,"Use append-oriented, attributable and target tamper-evident workflow evidence; corrections create linked correction or superseding entries rather than destructive edits.","The audit model must preserve history while allowing accountable correction without silently overwriting prior evidence.","Refines the audit target across architecture, event, data and prototype trace designs; it does not claim implemented immutability or tamper evidence.","Product decision; target requirement","Product/platform administrator; Governance","Recorded during Sprint 4 architecture alignment; not implemented","Review when the audit schema, retention and technical integrity controls are designed."
D17,"Separate communication preparation, approval, send attempt, delivery, failure, follow-up and explicit patient confirmation; sent or delivered does not prove understanding or acceptance.","Communication transport status and patient confirmation have different evidence meaning and owners.","Prevents notification events from independently satisfying Next Step Confirmed or Episode Completed.","Product decision; validation requirement","Clinic physician for clinical content; authorised communication owner; Care Coordinator for closure evidence","Recorded during Sprint 4 architecture alignment; not implemented","Review when message policy, patient-confirmation requirements and UAT cases are defined."
D18,"Require a defined linkage contract before episode attachment or progression, including identifiers, source references, Encounter requirements, version handling, permitted manual reconciliation and accountable resolver.","The phrase verified linkage is unsafe unless its evidence and authority are explicit.","Manual reconciliation may establish an internal reference but cannot silently alter source identity or encounter records.","Product decision; validation requirement","Identity reconciliation reviewer","Recorded during Sprint 4 architecture alignment; not implemented","Review when the SMART sequence, event catalogue and linkage test cases are defined."
