"matrix_id","capability_or_decision","job_refs","accountable_human_role","performing_role","ai_suitability","allowed_continuumos_or_ai_support","human_control_required","prohibited_action","failure_or_recovery_rule","scope","evidence_status","source_trace"
"S3-DR01","Verify patient and encounter linkage before episode attachment","JTBD-07; JTBD-03","Identity reconciliation reviewer","Identity reconciliation reviewer; Care Coordinator records outcome","Prohibited","Rules may flag uncertainty and surface matching evidence","Yes","AI or ContinuumOS may not match, attach or create a valid episode autonomously","Route to Patient Match Failed or Encounter Missing; return only after human resolution","Build now","Product decision; validation requirement","Sprint 2 DR03; failure_path_map.md"
"S3-DR02","Accept, schedule and record diagnostic operational status","JTBD-05","Diagnostic operations user","Diagnostic operations user / source workflow","Not an AI decision","ContinuumOS may display and coordinate source status and ageing","Source action remains human/source-controlled","Do not infer completion, result availability or clinical review","Preserve source status and flag missing or overdue events","Build now","Product decision","Sprint 2 ownership_matrix.md"
"S3-DR03","Finalise, amend or correct clinical diagnostic report","JTBD-06","Authorised reporting professional","Authorised reporting professional / source system","Prohibited","ContinuumOS may display report version, provenance and amendment status","Yes","AI or ContinuumOS may not author, amend, correct or interpret the clinical report","Preserve versions; route conflicts or incomplete data to Result Incomplete or Amended Result Received","Represent source interaction; validate later","Product decision; validation requirement","Sprint 3 stakeholder_map.md; Sprint 2 failure_path_map.md"
"S3-DR04","Review current diagnostic report","JTBD-01; JTBD-10","Clinic physician for MVP clinical review; Specialist where receiving review is authorised","Clinic physician or authorised specialist","Assistive only","Source-linked summary may support review and expose source references","Yes","AI summary may not replace source review or determine clinical significance","Keep current version visible; amended result requires renewed review","Build now","Product decision; pilot hypothesis for evaluation","Sprint 2 DR08; DR20; care_episode_operating_model.md"
"S3-DR05","Acknowledge current report version","JTBD-01","Clinic physician","Clinic physician","Prohibited","ContinuumOS may create queue, reminders and ageing flags","Yes","AI, rules or Care Coordinator may not acknowledge","Remain Clinical Review Pending or Clinician Unavailable; amended version reopens review","Build now","Product decision; validation requirement","Sprint 2 DR09; failure_path_map.md"
"S3-DR06","Choose follow-up direction","JTBD-02","Clinic physician","Clinic physician records decision","Prohibited","ContinuumOS may present verified context and required fields","Yes","AI may not diagnose, determine urgency, choose a pathway or approve escalation","Keep Follow-up Decision Required; rejection or denial requires a new human direction","Build now","Product decision","Sprint 2 DR10; state_transition_table.csv"
"S3-DR07","Prepare and route approved referral or escalation handoff","JTBD-08","Referral Coordinator","Referral Coordinator; ContinuumOS records workflow","Assistive after approval","AI may prepare a source-linked draft after human-approved referral or escalation; Referral Coordinator reviews and routes","Yes","AI may not create, send, approve or redirect a referral autonomously","Missing fields remain visible; rejected handoff returns to human follow-up decision","Build now; AI validate later","Product decision; pilot hypothesis","Sprint 2 DR12; DR13; Sprint 3 CAP-12"
"S3-DR08","Provide specialist clinical review or recommendation","JTBD-10","Authorised specialist where applicable","Specialist","Assistive only","Source-linked summary may support review","Yes","AI may not accept, reject, redirect or determine clinical pathway","Record review/recommendation and preserve formal receiving-team response requirement","Represent within handoff; validate later","Proposed capability; validation requirement","Sprint 3 stakeholder_map.md; Sprint 2 DR11"
"S3-DR09","Accept or reject referral or escalation handoff","JTBD-09","Receiving team","Receiving team","Prohibited","ContinuumOS may record response, destination and timeframe","Yes","AI, Referral Coordinator or ContinuumOS may not accept, reject or redirect","Referral Rejected requires a new human follow-up direction; no automatic redirection","Build now","Product decision","Sprint 2 DR11; ownership_matrix.md"
"S3-DR10","Prepare limited financial-readiness dependency information","DEP-01; CTX-03","Billing/pre-authorisation user for administrative preparation","Billing/RCM; payer desk where relevant","Not an AI decision","ContinuumOS may display missing information or represent-only readiness status","Administrative work remains human/source-controlled","Do not infer coverage, authorise payment, submit a real claim or choose a clinical alternative","Keep Financial Readiness Pending or Payer Information Missing visible; urgent approved escalation may proceed only under D12/T11U evidence","Represent only","Product decision; assumption A08","Sprint 2 DR15; D12; T11U; canonical_alignment_register.md"
"S3-DR11","Make final financial-authorisation decision","CTX-02","Authorised financial decision-maker","Authorised financial decision-maker records decision","Prohibited","ContinuumOS may display an explicit human decision if represented","Yes","AI or ContinuumOS may not authorise payment, infer coverage or select clinical pathway","Record denial separately; clinical alternative requires physician decision and administrative option requires authorised financial role","Represent only","Product decision; validation requirement","Sprint 2 DR15-DR17"
"S3-DR12","Assign clinical coverage for blocked or overdue review","JTBD-15","Authorised clinical escalation owner","Authorised clinical escalation owner","Not an AI decision","Rules may flag overdue work and route escalation visibility","Human assignment required","AI or ContinuumOS may not acknowledge, diagnose or choose a pathway","Keep current state and escalation history; return to verified state after coverage is assigned","Build now","Product decision; validation requirement","Sprint 2 D12; ownership_matrix.md"
"S3-DR13","Create and manage workflow tasks, ageing and exception visibility","JTBD-03; JTBD-04; JTBD-19; JTBD-20","Care Coordinator for operational visibility; Product/platform administrator for technical recovery","ContinuumOS workflow; relevant human owner","Deterministic rules only","Rules may create tasks, flag ageing, route exceptions and prevent duplicate replay","Human gate required for decisions and safe return","Rules may not acknowledge, accept, choose, authorise or close without evidence","Preserve last verified valid state; keep failed writes and outages visible","Build now / represent-only by failure","Product decision; proposed capability","Sprint 2 DR18; DR21; Sprint 3 CAP-11"
"S3-DR14","Record evidence for the next safe care step","JTBD-04; JTBD-08; JTBD-09; JTBD-11; JTBD-22","Care Coordinator records the checklist after the clinic physician and receiving team provide their human decisions","Care Coordinator records evidence with relevant actors","Prohibited","ContinuumOS may validate completeness of the evidence checklist and record the state after required evidence exists","Yes","Care Coordinator, AI or rules may not determine clinical safety, choose the pathway or substitute for physician or receiving-team decisions","D12/T11U permits urgent approved escalation to record Next Step Confirmed while Financial Readiness Pending remains visible and unresolved once clinical direction, receiving-team handoff, accountable owner, timeframe and patient communication are confirmed","Build now","Product decision; validation requirement","Sprint 2 DR19; D12; T11U; canonical_alignment_register.md"
"S3-DR15","Generate source-linked episode summary","JTBD-01; JTBD-03; JTBD-21","Care Coordinator or clinic physician reviews before operational reliance","AI draft; human reviewer","Allowed assistive use; optional to progression","Summarise minimum approved source-linked information, expose references, version context and uncertainty; record failure/timeout and keep source evidence available","Yes before reliance; reviewer can accept, correct or reject","No diagnosis, prioritisation, urgency determination, identity matching, autonomous state change or blocking of valid human progression","If source is missing, conflicting or stale, mark uncertainty and route to exception/review; if AI fails or times out, record failure and continue source-based human workflow","Build now; validate later","Product decision; pilot hypotheses A05/A12; D13/D15","Sprint 2 DR20; Sprint 3 CAP-10; Sprint 4 AP-07/AP-13"
