"Priority Item ID","Scope item","Primary requirement or source","MoSCoW","Business value score (1-5)","Impact classification","Effort estimate (1-5)","Value minus effort signal","Cost of delay score (1-5)","Delay consequence","Net priority signal","Prerequisite or dependency","Dependency type","Blocking dependency","Target sprint","Decision status","Evidence status","Notes","Urgency","Delivery priority"
"PRI-01","Verified launch linkage and episode workspace","FR-01; FR-03; FR-04; TR-01","Must","5","Safety and workflow foundation","3","2","5","Unsafe attachment or unusable workflow foundation","7","Verified synthetic source fixture; authorised launch context","Technical and data","Yes","Sprint 6","Approved for prototype","Approved prototype baseline","No monetary value cost or benefit is asserted.","High","P1"
"PRI-02","Current-result integrity review and acknowledgement","FR-05; FR-06; FR-21; FR-31","Must","5","Clinical safety and core workflow","4","1","5","Delayed or invalid clinical-review control","6","PRI-01; current report version and complete-result evidence","Workflow and data","Yes","Sprint 6","Approved for prototype","Approved prototype baseline","Result availability remains distinct from acknowledgement.","High","P1"
"PRI-03","Human follow-up direction and clinic-management route","FR-08; FR-22; FR-29","Must","5","Clinical control and workflow progression","3","2","5","Episode cannot progress to an accountable next step","7","PRI-02; authorised Clinic physician action","Workflow and role","Yes","Sprint 6","Approved for prototype","Approved prototype baseline","No AI output can select the direction.","High","P1"
"PRI-04","Referral handoff receiving response and next-step confirmation","FR-09; FR-10; FR-11; FR-24; FR-27","Must","5","Handoff safety and MVP value","5","0","5","Unowned handoff or unconfirmed next step","5","PRI-03; applicable receiving-team evidence","Workflow and external evidence","Yes","Sprint 6","Approved for prototype","Approved prototype baseline","External routing is simulated or represented only.","High","P1"
"PRI-05","Exception queue and safe return","FR-12; FR-13; NFR-03","Must","5","Safety and recovery control","3","2","5","Unsafe silent progression or unowned failure","7","PRI-01; exception and recovery rules","Workflow and technical","Yes","Sprint 6","Approved for prototype","Approved prototype baseline","Includes linkage incomplete-result duplicate and unavailable-service conditions.","High","P1"
"PRI-06","Amended-result re-review","FR-25; FR-32","Must","5","Version safety","3","2","5","Use of superseded report evidence","7","PRI-02; amended-report event and audit history","Data and workflow","Yes","Sprint 6","Approved for prototype","Approved prototype baseline","Must preserve prior acknowledgement as history only.","High","P1"
"PRI-07","Audit timeline and attributable evidence","FR-14; NFR-05; TR-02","Must","5","Control and explainability","3","2","5","Inability to review decisions corrections or failures","7","PRI-01; event and audit contract","Technical and governance","Yes","Sprint 6","Approved for prototype","Approved prototype baseline","Target behaviour only; no implemented immutability claim.","High","P1"
"PRI-08","Source-linked AI episode summary","FR-15","Should","3","Optional orientation support","3","0","3","Lost orientation convenience; core human workflow remains available","3","PRI-01; verified inputs; AI-01 review and fallback controls","Data AI and workflow","No","Sprint 6","Approved for prototype","Approved prototype baseline","Non-blocking controlled sample only.","Medium","P2"
"PRI-09","Post-approval AI referral-handoff draft","FR-16","Should","3","Optional preparation support","4","-1","3","Lost preparation convenience; manual handoff remains available","2","PRI-04; valid human direction; AI-02 review and fallback controls","Data AI and workflow","No","Sprint 6","Approved for prototype","Approved prototype baseline","No AI approval routing or sending.","Medium","P2"
"PRI-10","Detailed financial readiness and denial recovery","FR-23; FR-28","Deferred","N/A - deferred","Represent-only dependency","N/A - deferred","N/A - deferred","N/A - deferred","No Sprint 6 delay consequence because excluded from build","N/A - deferred","PRI-04; separate financial scope decision","Scope and external dependency","No","Roadmap","Deferred","Roadmap item","Not included in the current prototype baseline.","Low","P3"
"PRI-11","Detailed cancellation no-show and provider-rejection workflow","FR-26","Deferred","N/A - deferred","Operational exception detail","N/A - deferred","N/A - deferred","N/A - deferred","No Sprint 6 delay consequence because excluded from build","N/A - deferred","PRI-05; separate bounded scenario decision","Scope and workflow","No","Roadmap","Deferred","Roadmap item","Generic exception controls remain in scope.","Low","P3"
"PRI-12","Preventive Health Check-up Orchestration","BRD-lite Phase 2 roadmap","Deferred","N/A - deferred","Future product opportunity","N/A - deferred","N/A - deferred","N/A - deferred","No Sprint 6 delay consequence because separate product discovery is required","N/A - deferred","Separate problem data and operating-model validation","Product and discovery","No","Phase 2 roadmap","Deferred","Roadmap item","Not an MVP requirement.","Low","P3"
