transition_id,from_state,trigger_or_condition,to_state,action_class,accountable_owner,human_control_required,notes
T01,Order Created,Acceptance event is received from the diagnostic provider,Order Accepted,System action,Diagnostic operations user,No,ContinuumOS records the event; it does not itself accept the order. Uncertain patient or encounter linkage must first route to reconciliation.
T02,Order Accepted,Appointment or diagnostic slot is recorded,Diagnostic Scheduled,System action,Diagnostic operations user,No,Rescheduling or cancellation is handled as operational work and remains auditable.
T03,Diagnostic Scheduled,Diagnostic event completion is received,Diagnostic Completed,System action,Diagnostic operations user,No,Completion does not mean a result is available.
T04,Diagnostic Completed,"For the approved synthetic fixture: accepted current DiagnosticReport status is final amended or corrected; the current source version is recorded; configured required result references resolve; and separate source-specific completion evidence is present",Result Available,System action,Diagnostic operations user,No,"Observation or preliminary/partial evidence alone is insufficient; this is a fixture rule rather than a universal FHIR requirement, and missing or inconsistent configured evidence routes to Result Incomplete."
T05,Result Available,Acknowledgement work item is assigned and active,Clinical Review Pending,System action,Clinic physician,No,The system applies owner and SLA rules; it does not make a clinical judgement.
T06,Clinical Review Pending,Clinician reviews current report version and explicitly acknowledges it,Result Acknowledged,Human decision,Clinic physician,Yes,AI summary cannot substitute for source-report review or acknowledgement.
T07,Result Acknowledged,Follow-up decision task is opened,Follow-up Decision Required,System action,Clinic physician,No,A later amended report can reopen Clinical Review Pending.
T08,Follow-up Decision Required,Clinician approves clinic management and pathway-specific next-step evidence is present,Next Step Confirmed,Human decision,"Clinic physician for decision; Care Coordinator for closure verification",Yes,"The physician chooses clinic management; the Care Coordinator verifies the named clinic owner, follow-up timeframe, required task and required communication or explicit confirmation evidence. Sent or delivered alone does not prove understanding or acceptance."
T09,Follow-up Decision Required,Clinician approves referral or hospital escalation,Referral Created,Human decision,Clinic physician,Yes,The physician is accountable for the clinical direction; the Referral Coordinator prepares and routes the approved referral task.
T10,Referral Created,Receiving team accepts required referral or escalation handoff,Referral Accepted,Human decision,Receiving team,Yes,The receiving team accepts or rejects the handoff; the Referral Coordinator records the response and coordinates downstream work.
