"Requirement ID","Parent Requirement ID","Requirement Level","Title","Requirement Description","Requirement Type","Source Artifact","Source ID","Owner","Author","Priority","Business Value / Impact","Target Release","Related User Story ID","Acceptance Criteria Ref","Test Case ID","Test Phase","Defect ID","Status","Sign-off Owner","Creation Date","Last Updated Date","Comments / Remarks","Workflow State or Transition","Decision or Capability ID","Planned Screen ID","Event ID","Data Contract Reference","Prototype Scenario"
"BR-01","BR-01","BR","All MVP stages","Provide a bounded orchestration overlay for one synthetic diagnostic-closure episode, making verified workflow state, owner, blocker and next action visible without replacing source systems.","BR","Sprint 3 MVP scope freeze; Sprint 4 architecture boundary","CAP-01; CAP-02; AP-02","Care Coordinator; Clinic physician","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","N/A — cross-cutting or business requirement","Register acceptance criterion","UAT-BR-01","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; downstream IDs planned","All canonical states","CAP-01; CAP-02","SCR-02","EVT-04 to EVT-22","continuum_task; audit contract","PS-01; PS-02; PS-03"
"BR-02","BR-02","BR","Clinical decision and handoff","Maintain human-controlled clinical acknowledgement, follow-up direction, referral decision and workflow closure.","BR","Sprint 2 decision-rights matrix; Sprint 3 decision-rights matrix; Sprint 4 architecture boundary","DR03; DR08-DR19; S3-DR04; S3-DR05; S3-DR07; S3-DR18; AP-06","Clinic physician; Care Coordinator; Referral Coordinator","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","N/A — cross-cutting or business requirement","Register acceptance criterion","UAT-BR-02","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; downstream IDs planned","T06; T08-T14; E01-E13","CAP-04; CAP-06; CAP-07; CAP-12","SCR-03; SCR-04; SCR-05; SCR-06; SCR-10","EVT-04; EVT-10-EVT-18; EVT-22","decision; acknowledgement; referral; confirmation; closure evidence","PS-01; PS-02; PS-03; PS-05"
"BR-03","BR-03","BR","Exception management","Make material workflow failures visible, owned and recoverable through a safe-return condition.","BR","Sprint 2 failure-path map; Sprint 3 scope freeze; Sprint 4 recovery rules","CAP-08; CAP-11; E01-E13","Care Coordinator; accountable exception role","Portfolio product owner","Must","Keeps unsafe, incomplete or failed work visible and recoverable.","Sprint 6","N/A — cross-cutting or business requirement","Register acceptance criterion","UAT-BR-03","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; downstream IDs planned","Exception states; safe return","CAP-08; CAP-11","SCR-07","EVT-19; EVT-21","exception; task; recovery evidence","PS-02; PS-03"
"BR-04","BR-04","BR","Optional AI assistance","Allow only source-linked episode summaries and post-approval referral-handoff drafts as optional human-reviewed assistance.","BR","Sprint 3 scope freeze; Sprint 4 AI service cards","CAP-10; CAP-12; AI-01; AI-02","Clinic physician; Care Coordinator; Referral Coordinator","Portfolio product owner","Must","Allows optional, reviewable AI assistance without autonomous action.","Sprint 6","N/A — cross-cutting or business requirement","Register acceptance criterion","UAT-BR-04","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; downstream IDs planned","No direct state effect","CAP-10; CAP-12; AI-01; AI-02","SCR-08","EVT-20","AI provenance and disposition","PS-04; PS-05"
"FR-01","BR-01","FR","Launch and access","Provide a simulated clinician-only SMART launch into synthetic Asha Mehta context and retrieve approved minimum source context after authorisation.","FR","Sprint 3 integration flow; Sprint 4 SMART sequence","S4-AD02; S4-AD12","Clinic physician","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","N/A — cross-cutting or business requirement","AC-FR-01-01; AC-FR-01-02","UAT-FR-01","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Pre-episode launch","CAP-01","SCR-01","EVT-01; EVT-02; EVT-03","Patient; Encounter; Practitioner; launch audit","PS-01"
"FR-02","BR-03","FR","Launch and access","Stop protected retrieval when launch, authorisation or endpoint access fails and preserve an attributable technical condition.","FR","Sprint 1 transition table; Sprint 4 SMART sequence","E13","Clinic physician; Product/platform administrator","Portfolio product owner","Must","Keeps unsafe, incomplete or failed work visible and recoverable.","Sprint 6","N/A — cross-cutting or business requirement","AC-FR-02-01; AC-FR-02-02","UAT-FR-02","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Integration Unavailable","CAP-08; CAP-11","SCR-01","EVT-01; EVT-02; EVT-03; EVT-21","access failure and recovery evidence","PS-02"
"FR-03","BR-02","FR","Episode creation","Require verified patient, encounter, order and applicable event references before attaching an episode.","FR","Sprint 1 transition table; Sprint 2 DR matrix; Sprint 4 event catalogue","E01; E02; DR03; EVT-04","Identity reconciliation reviewer; Care Coordinator","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-02","AC-FR-03-01; AC-FR-03-02","UAT-FR-03","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Patient Match Failed; Encounter Missing","CAP-01; CAP-08","SCR-07","EVT-04","Patient; Encounter; ServiceRequest linkage refs","PS-02"
"FR-04","BR-01","FR","Active episode coordination","Show the active episode workspace with current canonical state, verified linkage status, owner, age/due context, blocker and next task.","FR","Sprint 3 scope freeze","CAP-01; CAP-05","Care Coordinator","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","US-05","AC-FR-04-01; AC-FR-04-02","UAT-FR-04","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","All active states","CAP-01; CAP-05","SCR-02","EVT-05 to EVT-22","continuum_task; owner; SLA; blocker","PS-01"
"FR-05","BR-01","FR","Diagnostic progression","Distinguish diagnostic operational milestones from report availability, current report version and clinical review.","FR","Sprint 3 scope freeze; Sprint 4 event catalogue","CAP-03; S4-AD08","Diagnostic operations user; authorised reporting professional; Clinic physician","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","US-04","AC-FR-05-01; AC-FR-05-02","UAT-FR-05","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","T01-T05; E04-E06","CAP-03","SCR-02","EVT-05 to EVT-09","ServiceRequest; DiagnosticReport; Observation","PS-01; PS-03"
"FR-06","BR-02","FR","Clinical review","Allow only the authorised Clinic physician to acknowledge the current report version after source review.","FR","Sprint 1 transition table; Sprint 2 DR matrix; Sprint 4 event catalogue","T06; E05; E06; DR08; DR09","Clinic physician","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-04","AC-FR-06-01; AC-FR-06-02","UAT-FR-06","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Result Acknowledged","CAP-04","SCR-03","EVT-10","DiagnosticReport version; acknowledgement evidence","PS-01; PS-03"
