Screen ID,Current state,Available screen,Authorised actor,Permitted action,Resulting state,Success route,Failure route,Audit event,Source,Status
SCR-01,Pre-episode launch,Simulated SMART launch and access status,"Clinic physician; Product/platform administrator","Start authorised simulated launch; view access outcome; retry only after resolution","No workflow state; Integration Unavailable on represented failure","Verified minimum context opens SCR-02","Stop protected retrieval; show condition and support route","EVT-01; EVT-02; EVT-03","FR-01; FR-02; TR-01",Planned
SCR-02,All active core states,Episode workspace and timeline,"Care Coordinator; role-authorised operational users","View current state, linkage, owner, age, blocker, next task and ordered evidence; Care Coordinator views the assigned review task while only the assigned Clinic physician may open the current result review","Current verified state only","Open the role-authorised next-work screen","Route missing/uncertain evidence to SCR-07","EVT-04 to EVT-22","BR-01; FR-04; FR-05; FR-07; FR-17 to FR-20; TR-02",Planned
SCR-03,"Result Available; Clinical Review Pending; Result Acknowledged; Amended Result Received",Result review and acknowledgement,Clinic physician,"Review current source report; view source-linked summary; explicitly acknowledge current version","Result Acknowledged; Clinical Review Pending for amended version","Acknowledgement opens follow-up work on SCR-04","Result Incomplete, Clinician Unavailable or stale-version handling on SCR-07","EVT-07; EVT-08; EVT-09; EVT-10; EVT-20","FR-06; FR-21; FR-25; FR-31; FR-32; NFR-08",Planned
SCR-04,"Result Acknowledged; Follow-up Decision Required",Follow-up direction,Clinic physician,"Record clinic management, day-care referral or hospital escalation; clinic management requires named owner, timeframe, next task and applicable communication/confirmation evidence before T08","Next Step Confirmed for complete T08 clinic path; Referral Created for T09 referral/escalation","Completed clinic path opens SCR-10 in closure mode; referral/escalation opens SCR-05","Unauthorised/stale/missing-evidence action remains pending or opens SCR-07","EVT-11","FR-08; FR-22; FR-29; NFR-08",Planned
SCR-05,Referral Created,Referral handoff preparation and routing,"Referral Coordinator; Clinic physician for applicable clinical content approval","Open optional AI draft review on SCR-08; prepare/approve package; route only when required fields and approvals are complete",Referral Created pending receiving response,"Routed package opens response tracking on SCR-06","Missing fields/approval disables routing; send failure remains visible with safe human correction/retry","EVT-12; EVT-13; EVT-20","FR-09; FR-16; NFR-08",Planned
SCR-06,"Referral Created; Referral Accepted; Referral Rejected",Receiving response,"Receiving team decides; Referral Coordinator tracks or records received evidence","Record or view acceptance/rejection while keeping the receiving-team decision actor distinct from any recording actor; capture destination/timeframe or rejection reason","Referral Accepted; Referral Rejected","Accepted response opens SCR-10 when evidence is ready","Rejected response returns human work to SCR-04; no automatic redirect","EVT-14","FR-10; FR-27",Planned
SCR-07,Exception states and represented operational conditions,Exception queue and exception detail,"Care Coordinator; exception-specific accountable role; Product/platform administrator","View reason, owner, safe action, prohibited action, evidence and return condition; record authorised resolution","Last verified safe state after resolution","Verified resolution returns to the appropriate core-work screen","Unresolved/failed reconciliation remains open without progression","EVT-04; EVT-19; EVT-21","BR-03; FR-02; FR-03; FR-12; FR-13; NFR-03; NFR-06",Planned
SCR-08,No direct canonical state effect,AI draft review,"Clinic physician; Care Coordinator for orientation; Referral Coordinator for handoff use","View provenance and uncertainty; accept permitted use/orientation; correct, reject, discard or supersede","No direct state change","Return to calling context: Care Coordinator AI-01 to SCR-02; Clinic physician AI-01 to SCR-03; Referral Coordinator AI-02 to SCR-05","Unavailable, timeout, stale or unsupported output falls back to source-based manual workflow","EVT-20","BR-04; FR-15; FR-16",Planned
SCR-09,All material workflow stages,Audit and trace,"Governance; Product/platform administrator; authorised operational reviewer","View attributable events, decisions, AI dispositions, exceptions, communication, corrections and recovery","No direct state change","Evidence supports review and later UAT","Missing/failed audit evidence remains a visible defect; no destructive correction","EVT-01 to EVT-22","FR-14; FR-33; NFR-07",Planned
SCR-10,"Referral Accepted; Next Step Confirmed",Next-step confirmation and scoped closure,"Care Coordinator; Clinic physician owns clinical direction; authorised communication owner","From Referral Accepted verify T11 evidence and record Next Step Confirmed; from Next Step Confirmed perform the separate T14 scoped closure action; clinic-management T08 enters only after confirmation on SCR-04","Next Step Confirmed; Episode Completed","Referral path records EVT-16 before EVT-22; clinic-management path enters in Next Step Confirmed and records EVT-22 only","Missing evidence or safety-blocking exception disables the applicable action and opens SCR-07","EVT-16; EVT-17; EVT-18; EVT-22","FR-11; FR-22; FR-24; FR-30; NFR-08",Planned
