Requirement ID,Requirement type,Actor,Workflow stage,State,Requirement,Business rule,Priority,Release,Acceptance criteria,Source,Status,Notes
BR-01,BR,"Care Coordinator; Clinic physician",All MVP stages,All canonical states,"Provide a bounded orchestration overlay for one synthetic diagnostic-closure episode, making verified workflow state, owner, blocker and next action visible without replacing source systems.","Source systems remain authoritative for patient, encounter, diagnostic and source operational records; ContinuumOS owns internal workflow visibility and evidence only.",Must,Sprint 6,"A walkthrough identifies the current canonical state, verified linkage status, owner, blocker and next task without presenting ContinuumOS as the source clinical record.","Sprint 3 MVP scope freeze CAP-01/CAP-02; Sprint 4 AP-02",Reviewed,"Baseline candidate; screen coverage in Part 3."
BR-02,BR,"Clinic physician; Care Coordinator; Referral Coordinator",Clinical decision and handoff,"Result Available; Follow-up Decision Required; Next Step Confirmed","Maintain human-controlled clinical acknowledgement, follow-up direction, referral decision and workflow closure.","No rule or AI output may perform a gated clinical, identity, financial or closure decision.",Must,Sprint 6,"Each gated action shows the authorised actor, required evidence and attributable record; unauthorised actions are blocked or represented as failure behaviour.","Sprint 3 decision-rights matrix S3-DR04/S3-DR05/S3-DR07/S3-DR18; Sprint 4 AP-06",Reviewed,"Closure evidence and actor matrix in Part 2."
BR-03,BR,"Care Coordinator; accountable exception role",Exception management,"Patient Match Failed; Encounter Missing; Result Incomplete; Duplicate Event Suspected; Clinician Unavailable","Make material workflow failures visible, owned and recoverable through a safe-return condition.","An exception never silently creates a valid episode, successful source write or state advance.",Must,Sprint 6,"Each represented exception has reason, owner, safe action, prohibited action, return condition and audit evidence.","Sprint 3 CAP-08/CAP-11; Sprint 2 failure-path map; Sprint 4 event recovery rules",Reviewed,"Detailed rules in Part 2."
BR-04,BR,"Clinic physician; Care Coordinator; Referral Coordinator",Optional AI assistance,"Result Available; Follow-up Decision Required","Allow only source-linked episode summaries and post-approval referral-handoff drafts as optional human-reviewed assistance.","AI is non-blocking; it may not diagnose, determine urgency, match identity or complete/approve/send/accept/reject a workflow action.",Must,Sprint 6,"Both assists visibly show draft status, source references/versions, uncertainty and a recorded human disposition; normal workflow remains available when AI is unavailable.","Sprint 3 CAP-10/CAP-12; Sprint 4 AI service cards",Reviewed,"Controlled sample outputs only; no model claim."
FR-01,FR,Clinic physician,Launch and access,Launch context,"Provide a simulated clinician-only SMART launch into synthetic Asha Mehta context and retrieve approved minimum source context after authorisation.","Use read-only synthetic FHIR-shaped resources; do not retain raw tokens, secrets or full authorisation responses.",Must,Sprint 6,"The prototype shows launch context, authorised clinician identity/context and minimum retrieved source references; it does not imply a live connection.","Sprint 3 integration flow; Sprint 4 SMART launch sequence; S4-AD02/S4-AD12",Reviewed,"Operations access is separate and role-authorised."
FR-02,FR,"Clinic physician; Product/platform administrator",Launch and access,Integration Unavailable,"Stop protected retrieval when launch, authorisation or endpoint access fails and preserve an attributable technical condition.","Do not display protected data, retain credentials or present failed retrieval as source success.",Must,Sprint 6,"A failure path presents the condition, last verified safe state, support/escalation route and no false episode advancement.","Sprint 1 E13; Sprint 2 exception workflow Integration Unavailable; Sprint 3 integration flow; Sprint 4 SMART failure rules",Reviewed,"Represented failure; no live OAuth."
FR-03,FR,"Identity reconciliation reviewer; Care Coordinator",Episode creation,"Patient Match Failed; Encounter Missing","Require verified patient, encounter, order and applicable event references before attaching an episode.","Uncertain or conflicting linkage is quarantined for accountable human reconciliation; source records are not altered.",Must,Sprint 6,"The prototype makes linkage status and evidence visible and routes uncertainty to the approved exception state rather than silently attaching the episode.","Sprint 3 JTBD-07/CAP-01; Sprint 4 AP-03/EVT-04",Reviewed,"No autonomous matching."
FR-04,FR,Care Coordinator,Active episode coordination,All active canonical states,"Show the active episode workspace with current canonical state, verified linkage status, owner, age/due context, blocker and next task.","Operational visibility does not confer clinical, identity or financial authority.",Must,Sprint 6,"For the synthetic episode, all seven required workspace elements are visible and unresolved work is distinguishable from completed work.","Sprint 3 CAP-01/CAP-05",Reviewed,"SLA values remain illustrative; no performance claim."
FR-05,FR,"Diagnostic operations user; authorised reporting professional; Clinic physician",Diagnostic progression,"Order Created; Order Accepted; Diagnostic Scheduled; Diagnostic Completed; Result Available; Result Incomplete; Amended Result Received","Distinguish diagnostic operational milestones from report availability, current report version and clinical review.","Result Available requires the approved synthetic-fixture status/version, configured result references and separate completion evidence; availability is not acknowledgement.",Must,Sprint 6,"A walkthrough distinguishes every listed milestone, shows the current report version and routes missing/conflicting evidence to Result Incomplete.","Sprint 3 CAP-03; Sprint 4 S4-AD08; EVT-06 to EVT-10",Reviewed,"Source-side reporting remains authoritative."
FR-06,FR,Clinic physician,Clinical review,"Result Available; Amended Result Received","Allow only the authorised Clinic physician to acknowledge the current report version after source review.","Acknowledgement records actor, timestamp and current report version; amended/corrected versions require renewed review and acknowledgement.",Must,Sprint 6,"The acknowledgement control is unavailable to unauthorised roles; an amended report retains earlier acknowledgement as history only and presents renewed review work.","Sprint 3 CAP-04; Sprint 4 report-version change contract; EVT-10",Reviewed,"No AI or rule shortcut."
