assumption_id,assumption,category,why_it_matters,evidence_status,proposed_validation_method,accountable_owner,validation_timing,current_status
A01,"A result being available can remain operationally unacknowledged or unowned across local workflows.","Workflow problem","This is the core gap ContinuumOS is intended to make visible; result availability must not be equated with clinical review.","Assumption","Review representative workflow scenarios with clinical and coordination users; test whether acknowledgement status and ownership can be identified without a shared episode view.","Product owner and Care Coordinator representative","Before any pilot or production claim","Unvalidated"
A02,"Cross-setting handoffs can leave the next action without a visible accountable owner.","Operating model","The shared episode model is valuable only if it exposes ownership gaps across clinic diagnostics referral and selected administrative work.","Assumption","Validate the ownership model against walkthroughs of clinic management day-care referral and hospital-escalation scenarios.","Product owner and Care Coordinator representative","Requirements validation","Unvalidated"
A03,"An explicit exception queue is needed for uncertain linkage incomplete results duplicate events and integration recovery.","Safety and workflow control","Without a visible exception route uncertain or incomplete information may be handled informally or silently attached.","Assumption","Run synthetic failure scenarios and confirm that each exception receives an owner age resolution action and safe return state.","Care Coordinator representative and product owner","Prototype acceptance validation","Unvalidated"
A04,"A clinician-facing SMART on FHIR launch can provide enough useful episode context to begin the proposed workflow without replacing the system of record.","Usability and interoperability","D02 records the design choice to use a SMART on FHIR demonstration. This assumption tests whether that launch gives clinicians enough useful context and reduces unnecessary context switching.","Assumption","Test the synthetic launch flow with defined episode-context retrieval and collect structured usability feedback before making any usability claim.","Product owner and clinician representative","Later interoperability and prototype validation","Unvalidated"
A05,"Source-linked AI episode summarisation can present relevant episode facts accurately enough to support human review and handoff preparation.","AI assistance","Summarisation is useful only when material facts are traceable to approved sources and do not introduce unsupported content.","Pilot hypothesis","Evaluate assertion-level source-linkage accuracy and critical unsupported-statement rate on labelled synthetic cases.","Product owner; Clinic physician; Referral Coordinator","AI evaluation validation","Unvalidated"
A06,"A future operational-attention recommendation may help coordinators act earlier without becoming clinical prioritisation.","Roadmap / optional AI evaluation","This is not a seven-day MVP capability. Any later evaluation must use deterministic workflow signals such as ageing unresolved exceptions and repeated handoffs and must not imply a predictive clinical-risk model or replace clinician authority.","Roadmap item","Evaluate only after the two-capability MVP has been validated; measure coordinator-confirmed usefulness, override and documented follow-up action.","Care Coordinator representative and product owner","Later roadmap evaluation","Deferred"
A07,"An AI-generated source-linked referral handoff draft can reduce preparation effort after clinician approval while remaining subject to human review.","AI assistance","The draft must improve preparation support without creating sending approval or referral authority.","Pilot hypothesis","Evaluate pre-edit package completeness material correction rate approval evidence and preparation time against a defined synthetic workflow.","Referral Coordinator representative and product owner","AI evaluation validation","Unvalidated"
A08,"Selected planned escalation pathways may require financial-readiness work before administrative confirmation while urgent clinical care must not be delayed by this workflow.","Administrative workflow","Financial readiness is a supporting dependency on selected paths; it must not become an autonomous decision or delay urgent clinical care.","Assumption","Validate pathway-specific prerequisite ordering exception handling and urgent-care bypass conditions with synthetic walkthroughs and authorised operational input.","Billing/pre-authorisation representative and product owner","Requirements validation","Unvalidated"
A09,"Documented post-confirmation patient communication is necessary for a next step to be operationally complete.","Workflow closure","A handoff is not fully closed if communication status approved content sender and timing are unknown.","Assumption","Validate the required communication evidence fields against synthetic scenarios and later stakeholder review.","Care Coordinator representative","Prototype acceptance validation","Unvalidated"
A10,"Uncertain patient encounter or event matches can be safely resolved through manual reconciliation rather than silent attachment.","Identity and data safety","The MVP must protect against attaching diagnostic information to the wrong synthetic episode.","Assumption","Exercise patient-match failed encounter-missing duplicate-event and integration-unavailable scenarios; verify human confirmation before safe return.","Identity reconciliation reviewer and Care Coordinator representative","Prototype acceptance validation","Unvalidated"
A11,"An amended diagnostic result requires renewed clinical review and acknowledgement even when an earlier report version was acknowledged.","Clinical workflow safety","Version-aware review prevents prior acknowledgement from being treated as sufficient after source information changes.","Assumption","Run the amended-result synthetic scenario and verify preserved report versions reopened review and renewed human acknowledgement before downstream progression.","Clinic physician representative and diagnostic operations representative","Prototype acceptance validation","Unvalidated"
A12,"AI missing or conflicting-context detection can identify handoff-relevant gaps in available source information without inventing facts or judging clinical significance.","AI assistance","This is deferred AI-based anomaly detection, not an MVP capability. Context-gap detection has a different failure mode from summarisation: it may omit a required gap or flag information that is not actually missing or conflicting.","Pilot hypothesis","Evaluate precision recall critical-omission rate and error types against a versioned labelled synthetic reference set after the two-capability MVP is validated.","Product owner and Referral Coordinator","AI evaluation validation","Deferred"
