"decision_id","decision_category","decision_or_right","accountable_role","performing_role","consulted_roles","continuumos_or_ai_boundary","human_control_required","evidence_status","scope","source_trace","open_question"
"DR01","Human decision","Create or approve diagnostic order","Clinic physician","Clinic physician / clinic source system","Care Coordinator; Diagnostic operations user","ContinuumOS may record a source order but cannot create or validate clinical need","Yes","Product decision","Build now","decision_register.csv D03; state_transition_table.csv T01","Validate minimum source fields"
"DR02","System-enforced workflow rule","Create orchestration record from verified source order","Care Coordinator","ContinuumOS / clinic source system","Clinic physician; Diagnostic operations user","Create the workflow record only after source order and linkage status are available; do not create a clinical order","No for recording; Yes for linkage exception","Product decision","Build now","decision_register.csv D01 D03; care_episode_state_model.md","Define workflow-record creation trigger"
"DR03","Human decision","Reconcile patient and encounter before attachment","Identity reconciliation reviewer","Care Coordinator records resolution","Care Coordinator; Clinic physician; Diagnostic operations user","Rules may flag uncertainty; ContinuumOS and AI cannot match or attach autonomously","Yes","Product decision","Build now","assumption_register.csv A10; state_transition_table.csv E01-E02","Define reconciliation evidence threshold"
"DR04","Human decision","Accept diagnostic work","Diagnostic operations user","Diagnostic operations user / diagnostic source system","Clinic physician; Care Coordinator","ContinuumOS records provider acceptance; it cannot accept on the provider's behalf","Yes","Product decision","Build now","ownership_matrix.md; state_transition_table.csv T01","Confirm source acceptance semantics"
"DR05","Human decision","Confirm facility or appointment and record scheduling disposition","Diagnostic operations user","Diagnostic scheduling staff","Care Coordinator; Patient or caregiver; Clinic physician for clinical changes","ContinuumOS displays source appointment status and tasks; it cannot confirm attendance or completion","Yes for confirmation/cancellation/no-show disposition","Proposed capability","Represent only","state_transition_table.csv T02; care_episode_operating_model.md","Define cancellation/no-show reason codes"
"DR06","System-enforced workflow rule","Record diagnostic completion from source event","Diagnostic operations user","Diagnostic operations user / diagnostic professional","Clinic physician if incomplete; Care Coordinator","ContinuumOS records verified completion; it cannot turn completion into result availability","No for source recording; Yes for incomplete clinical handling","Product decision","Build now","state_transition_table.csv T03; care_episode_operating_model.md","Define required completion event"
"DR07","System-enforced workflow rule","Record report availability and preserve report version","Diagnostic operations user","Diagnostic source system / ContinuumOS","Clinic physician; Care Coordinator","Source system owns report content and version; ContinuumOS displays availability and version and creates work","Yes for source correction","Product decision","Build now","decision_register.csv D01; state_transition_table.csv T04","Validate amendment fields"
"DR08","Human decision","Review current or amended diagnostic report","Clinic physician","Clinic physician","Care Coordinator; Diagnostic operations user","AI may provide a source-linked summary; source report review remains required","Yes","Product decision","Build now","decision_register.csv D05-D07; state_transition_table.csv T06 E05-E06","Define review evidence fields"
"DR09","Human decision","Acknowledge current report version and re-acknowledge amended version","Clinic physician","Clinic physician","Care Coordinator","ContinuumOS and AI cannot acknowledge; prior acknowledgement cannot satisfy an amended version","Yes","Product decision","Build now","state_transition_table.csv T06 E06; assumption_register.csv A01 A11","Validate acknowledgement SLA and amended-result re-review"
"DR10","Human decision","Choose follow-up direction: clinic management, referral or hospital escalation","Clinic physician","Clinic physician","Care Coordinator; Referral Coordinator; Receiving team; Billing/pre-authorisation user","AI may not diagnose, determine urgency, choose a pathway or approve escalation; urgent handling requires an authorised human decision or validated source flag","Yes","Product decision","Build now","decision_register.csv D03-D06; state_transition_table.csv T08-T09","Validate pathway prerequisites and urgent bypass"
