Data field group ID,Display name,Business meaning,Source system or owner,FHIR or internal field,Required or optional,Read-only or editable,Authorised roles,Validation,Missing-data behaviour,Audit requirement,Screen-field coverage,Flow or event reference,Source,Status
FM-01,Synthetic patient linkage,Verified synthetic patient identity used only to attach and display the episode,Source identity context; identity reconciliation reviewer,"Patient.id; Patient.identifier; internal linkage reference",Required for an attached episode,Read-only source; internal linkage status is recorded by authorised human,"Care Coordinator views; identity reconciliation reviewer resolves; authorised users view verified minimum context",Patient ID and source identifier must resolve under the approved linkage contract,Route to Patient Match Failed; do not attach or display a valid episode,"EVT-04 linkage decision with source references versions reviewer decision and time","SCR-02 V; SCR-03 V/B; SCR-04 V/B; SCR-05 V/B; SCR-06 V/B; SCR-07 E; SCR-08 V/B; SCR-09 A; SCR-10 V/B",Episode attachment; all active states; EVT-04,Sprint 3 FM-01; Sprint 2 DR03; Sprint 4 D18,Reviewed
FM-02,Encounter verification,Verified synthetic encounter context required before episode attachment,Source encounter system; identity reconciliation reviewer,"Encounter.id; Encounter.status; Encounter.subject; Encounter.class; internal linkage reference",Required for an attached episode,Read-only source; internal linkage status is recorded by authorised human,"Care Coordinator views; identity reconciliation reviewer resolves; authorised users view verified minimum context",Encounter identifier status and patient reference must be confirmed,Route to Encounter Missing; hold progression and do not silently attach,"EVT-04 linkage decision and linked source version","SCR-02 V; SCR-03 V/B; SCR-04 V/B; SCR-05 V/B; SCR-06 V/B; SCR-07 E; SCR-08 V/B; SCR-09 A; SCR-10 V/B",Episode attachment; all active states; EVT-04,Sprint 3 FM-02; Sprint 2 DR03; Sprint 4 D18,Reviewed
FM-03,Clinician and reporting-professional context,Signed-in clinician context is distinct from reporting-professional attribution,SMART user context and source directory,"fhirUser; Practitioner.id; Practitioner.identifier; Practitioner.name/display; Practitioner.active",Required for protected launch and attributable human action,Read-only source context; internal role assignment is controlled,"Clinic physician acts where assigned; Care Coordinator views workflow ownership; Referral Coordinator and receiving team actions use configured role authority",Active authorised role must match the action; reporting performer never implies reviewing-clinician authority,Stop protected retrieval for missing or mismatched launch role; show missing actor context and do not infer authority,"EVT-01 to EVT-03 access evidence; attributable human-decision events","SCR-01 V/B; SCR-02 V; SCR-03 V/B; SCR-04 E/B; SCR-05 V/B; SCR-06 E/B; SCR-08 E/B; SCR-09 A; SCR-10 V/B",SMART access; review assignment and acknowledgement; direction; referral and closure events,Sprint 3 FM-03; Sprint 4 SMART sequence; Sprint 2 decision rights,Reviewed
FM-04,Diagnostic order identity,Source-authoritative order identity linked to the internal episode,Ordering source system,"ServiceRequest.id; ServiceRequest.identifier; internal episode reference",Required for order evidence and downstream source linkage,Read-only source; internal reference only,"Care Coordinator and authorised users view; source users correct source order",Order reference must be present and linked to verified patient and encounter,Keep pending or route to exception for missing or conflicting order; never infer an order,"EVT-05 source order evidence and linked audit reference","SCR-02 V; SCR-03 V; SCR-04 V; SCR-05 V/B; SCR-09 A",Order Created; EVT-05,Sprint 3 FM-04; Sprint 2 system-of-record table,Reviewed
FM-05,Diagnostic order clinical status,Order status and intent shown without inferring provider acceptance scheduling or completion,Ordering source system,"ServiceRequest.status; ServiceRequest.intent",Required where order context is displayed,Read-only,"Care Coordinator and authorised users view; diagnostic operations records separate operational evidence",ServiceRequest presence or status supports Order Created only,Show pending or exception where inconsistent; do not derive Order Accepted or Diagnostic Scheduled,"EVT-05 with source status and version","SCR-02 V; SCR-09 A",Order Created; EVT-05,Sprint 3 FM-05; Sprint 1 T01; Sprint 2 DR04,Reviewed
FM-05A,Diagnostic acceptance and scheduling evidence,Operational evidence records provider acceptance and scheduling separately from the clinical order,Diagnostic operations user or source operational system,"Internal or simulated operational event; internal orchestration task; source appointment or slot event where available",Required only for represented operational milestones,Read-only source event; internal orchestration record is editable by authorised operations user,"Diagnostic operations user records source evidence; Care Coordinator views",Acceptance needs accepting organisation actor and time; scheduling needs appointment or slot evidence; neither can be inferred from ServiceRequest,Keep milestone absent or visible as exception; cancellation and reschedule remain operational,"EVT-06 subtype evidence actor and time","SCR-02 V; SCR-07 E; SCR-09 A",T01 Order Accepted; T02 Diagnostic Scheduled; EVT-06,Sprint 3 FM-05A; Sprint 1 T01-T02; Sprint 4 EVT-06,Reviewed
FM-06,Diagnostic code and reason,Minimum synthetic order context supports understanding and handoff completeness without clinical invention,Ordering source system,"ServiceRequest.code; ServiceRequest.reasonReference or reasonCode",Optional when supplied by source,Read-only,"Clinic physician and authorised operational roles view; source owner corrects",Display only source-supplied context; no inferred clinical reason,Show missing context; do not invent reason,"Source reference retained with order and handoff evidence","SCR-02 V; SCR-03 V; SCR-05 V/B; SCR-09 A",Order context and referral package completeness,Sprint 3 FM-06; Sprint 1 tracer; Sprint 2 DR01,Reviewed
FM-07,Requester and authored time,Order attribution and timeline ordering,Ordering source system,"ServiceRequest.requester; ServiceRequest.authoredOn",Optional where available,Read-only,"Authorised operational reviewers view; source owner corrects",Requester and authored time are source attribution only and do not grant authority,Show as data-quality gap when absent,"Source reference and time retained in audit timeline","SCR-02 V; SCR-09 A",Order workflow timeline; EVT-05,Sprint 3 FM-07; Sprint 2 system-of-record table,Reviewed
FM-08,Diagnostic completion event,Source operational completion remains distinct from result availability,Diagnostic source or operations,"Internal or source operational completion event; source event timestamp",Required to display or record Diagnostic Completed,Read-only source event; internal state record,"Diagnostic operations records; Care Coordinator and Clinic physician view",Completion event and time must be present; it does not prove final result availability,Keep result work overdue or route to exception; never infer result availability,"EVT-06 completed subtype with event time","SCR-02 V; SCR-07 E; SCR-09 A",T03 Diagnostic Completed; EVT-06,Sprint 3 FM-08; Sprint 1 T03; Sprint 2 failure path,Reviewed
FM-09,Observation identity and status,Supporting source evidence linked to the current report where the approved fixture requires it,Diagnostic source system,"Observation.id; Observation.status",Required only when configured for the fixture result-reference check,Read-only,"Clinic physician and authorised reviewers view; diagnostic source professional corrects",Configured reference must resolve to an allowed source observation status; presence alone is insufficient,Route conflicting incomplete or unreferenced evidence to Result Incomplete,"EVT-07 source reference check; linked audit evidence","SCR-02 V; SCR-03 V/B; SCR-07 E; SCR-08 V/B; SCR-09 A",T04 Result Available or Result Incomplete; EVT-07,Sprint 3 FM-09; Sprint 1 T04 E04; Sprint 4 fixture rule,Reviewed
FM-10,Observation value and timing,Minimum source-linked finding or structured support is available for human review without autonomous interpretation,Diagnostic source system,"Observation.code; Observation.effective[x]; Observation.issued; Observation.basedOn; Observation.performer; Observation.value[x]; Observation.component",Optional where configured and supplied by source,Read-only,"Clinic physician views source evidence; Care Coordinator may view workflow-relevant availability only",References must resolve and expected evidence must be complete for the fixture rule; no AI conflict resolution,Route missing conflicting or unexpected configured evidence to Result Incomplete or human source review,"EVT-07 source references versions and result-reference check","SCR-03 V/B; SCR-05 V/B; SCR-08 V/B; SCR-09 A",Human source review and optional AI provenance; EVT-07,Sprint 3 FM-10; Sprint 1 T04 E04; Sprint 4 AI boundary,Reviewed
FM-11,Report identity and version,Current source report and its version history control availability acknowledgement and amendment re-review,Authorised reporting source or professional,"DiagnosticReport.id; DiagnosticReport.meta.versionId; DiagnosticReport.meta.lastUpdated; DiagnosticReport.status; DiagnosticReport.basedOn",Required for result availability review and downstream decisions,Read-only source; internal version reference and reassessment flags,"Clinic physician reviews and acknowledges; Care Coordinator views; authorised operational reviewers trace",Current version status order link and last-updated evidence must be present; an amended or corrected version requires renewed review,Route missing or inconsistent evidence to Result Incomplete; preserve prior acknowledgement as history only and mark dependent work stale,"EVT-07 availability; EVT-08 amendment; EVT-10 acknowledgement; linked audit correction history","SCR-02 V; SCR-03 V/B/E; SCR-04 V/B; SCR-05 V/B; SCR-07 E; SCR-08 V/B; SCR-09 A; SCR-10 V/B",T04-T06; E05-E06; EVT-07 EVT-08 EVT-10,Sprint 3 FM-11; Sprint 1 T04-T06 E04-E06; Sprint 4 version-change contract,Reviewed
FM-12,Report status code and source completion condition,Fixture-specific evidence determines whether the current report may become Result Available,Authorised reporting source and diagnostic operations,"DiagnosticReport.status; DiagnosticReport.code; separate approved fixture completion event or rule",Required for T04 result-availability decision,Read-only source evidence; internal evidence reference,"Clinic physician and Care Coordinator view; diagnostic source or operations corrects evidence",Accepted current status must be final amended or corrected and separate source-specific completion evidence must pass,Route unmet or missing condition to Result Incomplete; do not treat this as a universal FHIR rule,"EVT-07 fixture-check outcome with source version","SCR-02 V/B; SCR-03 V/B; SCR-07 E; SCR-09 A",T04 Result Available; EVT-07,Sprint 3 FM-12; Sprint 1 T04 E04; Sprint 4 fixture contract,Reviewed
FM-13,Report subject encounter and linkage evidence,Report attachment is verified against patient encounter and source references,Authorised reporting source; identity reconciliation reviewer for uncertainty,"DiagnosticReport.subject; DiagnosticReport.encounter; source identifiers; version references",Required before report display or attachment to an episode,Read-only source; internal linkage reference,"Identity reconciliation reviewer resolves; Care Coordinator coordinates; authorised users view verified result",Patient encounter and event references must meet the approved linkage contract,Hold attachment or route to reconciliation; manual reconciliation records only an internal reference,"EVT-04 linkage evidence; report source references and versions","SCR-02 V/B; SCR-03 V/B; SCR-07 E; SCR-08 V/B; SCR-09 A",Patient Match Failed; Encounter Missing; Result Available,Sprint 3 FM-13; Sprint 2 DR03 E01-E02; Sprint 4 D18,Reviewed
