"information_type","authoritative_source","continuumos_receives_or_displays","continuumos_may_write","who_can_correct_it","conflict_handling","audit_evidence","evidence_status","source_trace"
"Patient identity","Authoritative registration or identity source","Minimum-necessary synthetic identifiers and match status","Episode-linkage status, reconciliation task and exception reference only","Identity reconciliation reviewer / source registration owner","Route uncertainty to Patient Match Failed; human reconciliation required before attachment","Match inputs; rule result; reviewer; accept/reject; timestamps; correction history","Product decision","decision_register.csv D01 D04; assumption_register.csv A10"
"Encounter","Authoritative encounter or clinic source","Encounter identifier, linkage status and missing-encounter flag","Workflow linkage reference and exception task only; cannot create or modify the authoritative encounter","Encounter source owner / identity reconciliation reviewer","Hold progression in Encounter Missing until human confirmation; never silently create or attach","Source reference; reconciliation actions; reviewer; return state; timestamps","Product decision","state_transition_table.csv E02; assumption_register.csv A10"
"Diagnostic order","Clinic/order source system","Order identifier; source status; linked episode; order metadata","ContinuumOS workflow task and display linkage; not the clinical order","Clinic physician or authorised source user","Conflicting orders remain visible and route to duplicate or linkage review","Source order ID/version; actor; receipt event; linkage decision; audit timeline","Product decision","decision_register.csv D01 D03; state_transition_table.csv T01"
"Diagnostic schedule/completion","Diagnostic scheduling and performing source","Slot; appointment status; completion event; reason-coded cancellation/no-show/test-not-performed","ContinuumOS tasks, flags and display history; not source appointment truth","Diagnostic operations user / scheduling staff","Preserve source status; do not infer completion from a slot or no-show from silence","Slot/event ID; status history; actor; reason; timestamps; source reference","Proposed capability","state_transition_table.csv T02-T03; care_episode_operating_model.md"
"Observation","Diagnostic or laboratory source","Source-linked observation references and status","Episode display link only; no clinical editing","Diagnostic source professional","Conflicting observations remain source exceptions for human review; no autonomous clinical interpretation; any displayed summary remains source-linked and human-reviewed","Observation ID/version; source; linkage; reviewer action; timestamps","Product decision","decision_register.csv D01; future_state_workflow.md"
"Diagnostic report and version","Diagnostic reporting source","Report content reference; current version; availability; amendment marker","Display linkage, report task and exception references only","Diagnostic operations user / reporting source","Preserve all versions; amended report reopens Clinical Review Pending and requires renewed acknowledgement","Report ID/version; amendment reason; prior/current references; reviewer; acknowledgement; timestamps","Product decision","assumption_register.csv A11; state_transition_table.csv E05-E06"
"Workflow task","ContinuumOS orchestration layer","Task owner; state; due time; SLA; blocker; escalation and completion evidence","Create/update orchestration task and assignment history; not source clinical record","Relevant accountable human role; Care Coordinator for operational task record","Uncertain task source or failed write remains visible as pending/failed; task completion requires referenced evidence from the authoritative source or an authorised human action","Task ID; state history; actor/source; due time; assignment; escalation; completion evidence","Proposed capability","decision_register.csv D01; ownership_matrix.md"
"Referral status","Referral or receiving-team source","Referral ID; destination; acceptance/rejection; reason; timestamps; linked task","Orchestration task and handoff package status; not authoritative acceptance","Receiving team creates or corrects acceptance/rejection status; Referral Coordinator records received evidence, tracks status and requests correction","Preserve rejection and return to Follow-up Decision Required; no automatic redirection","Referral package/version; actor; reason; approval; acceptance/rejection; notifications","Product decision","state_transition_table.csv T09-T11 E08-E09; assumption_register.csv A07"
"Financial-readiness status","Authorised financial or pre-authorisation source","Financial Readiness Pending status; readiness status; missing information; denial; source reason","Supporting workflow status and task only; no authorisation decision","Authorised financial decision-maker corrects the authoritative financial decision; Billing/pre-authorisation user corrects preparation and submission evidence","Record denial or missing data; route alternative to human decision; urgent clinically approved escalation remains possible","Submission; source response; reason; decision-maker; timestamps; alternative decision; audit link","Product decision","decision_register.csv D03 D12; assumption_register.csv A08; state_transition_table.csv T11U T12-T13 E10-E12"
"Patient communication","Approved communication record / authorised sender","Approval status; channel; sender; timestamp; delivery status; receipt confirmation; understanding evidence if separately collected","Communication task and evidence reference; not unapproved clinical content","Clinic physician approves clinical content; Care Coordinator or authorised user sends/records","Approval, sent, delivered, receipt confirmed and understanding are separate evidence fields; missing approval or delivery evidence blocks closure confirmation","Content/version; approver; sender; channel; sent timestamp; delivery status; receipt event; understanding evidence; correction","Assumption","assumption_register.csv A09; decision_register.csv D07"
"Exception record","ContinuumOS orchestration layer with source evidence","Exception type; affected state; owner; age; reason; resolution and safe return","Create/update exception, assignment and resolution history; source correction remains in source system","Relevant resolver; Care Coordinator coordinates","Uncertain data follows exception queue -> human reconciliation -> verified safe return","Exception ID; detection; owner; actions; decision; source verification; return state; timestamps","Product decision","assumption_register.csv A03 A10; state_transition_table.csv E01-E13"
"Audit timeline","ContinuumOS workflow history plus source-event references","State transitions; source references; human decisions; AI generation/failure/review; corrections; errors and recovery","Append-oriented workflow/audit events and links; corrections create linked correction or superseding entries; no replacement of source audit","Authorized operational/governance reviewers","Conflicts and corrections are preserved with before/after, reason and linked prior evidence; never destructively overwrite history","Event ID; timestamp; actor/role; source/version; decision; approval; correction_of/supersedes link; override; recovery evidence","Product decision; target requirement","decision_register.csv D01 D05 D07 D10 D16; success_metrics.md"
