"field_id","workflow_need","resource_or_internal_field","minimum_data","source_or_owner","continuumos_use","read_write_class","required_for_states_or_decisions","failure_handling","sensitivity_or_permission_note","source_trace"
"FM-01","Synthetic patient linkage","Patient.id; Patient.identifier","Synthetic patient ID and source identifier","Source identity context; Identity reconciliation reviewer resolves uncertainty","Display and link verified patient context","Read source; internal linkage record","Episode attachment; all active states","Patient Match Failed if uncertain; no silent attachment","Synthetic identifier only; no production identity matching","Sprint 2 DR03; E01"
"FM-02","Encounter verification","Encounter.id; Encounter.status; Encounter.subject; Encounter.class","Encounter ID, status, patient reference and encounter class","Source encounter system; Identity reconciliation reviewer","Confirm episode context","Read source; internal linkage record","Episode attachment; Encounter Missing","Encounter Missing if required encounter cannot be confirmed","Minimum encounter context only","Sprint 2 DR03; E02"
"FM-03","Clinician and reporting-professional context","fhirUser; user/Practitioner direct read where needed; Practitioner.id; Practitioner.identifier; Practitioner.name/display; Practitioner.active","Signed-in reviewing clinician context and separate source reporting-professional reference/display context","SMART user context and source directory/resource context","Attribute clinician review task separately from source reporting evidence","Read source; internal role assignment","Clinical review, reporting, task attribution","Missing actor context remains visible; do not infer authority or treat reporting performer as signed-in clinician","Practitioner is user-context access, not patient-compartment access; role authority comes from workflow configuration, access policy or possibly PractitionerRole, not Practitioner alone","Sprint 2 ownership_matrix.md; Sprint 4 SMART/fixture correction"
"FM-04","Diagnostic order identity","ServiceRequest.id; ServiceRequest.identifier where present","Order ID and source identifier","Ordering source system","Link source order to internal episode","Read source; internal reference","Order Created","Missing/conflicting order remains pending or exception","Clinical order is source-authoritative","Sprint 1 T01; Sprint 2 system_of_record_table.csv"
"FM-05","Diagnostic order clinical status","ServiceRequest.status; ServiceRequest.intent","Order status and intent only; not fulfilment","Ordering source system","Display order context and support Order Created; do not derive provider acceptance or scheduling","Read source; internal state record","Order Created","Resource presence/status cannot create Order Accepted or Diagnostic Scheduled","Clinical order source-authoritative; no autonomous source update","Sprint 1 T01; Sprint 2 DR04"
"FM-05A","Diagnostic acceptance and scheduling events","Internal/simulated operational event; internal orchestration task; source appointment/slot event where available","Provider acceptance, appointment/slot record, actor and event time","Diagnostic operations user/source operational system","Record Order Accepted or Diagnostic Scheduled only from operational evidence","Read source event; internal write","Order Accepted; Diagnostic Scheduled","Do not infer from ServiceRequest; cancellation/reschedule remains operational","Internal/simulated only; no source booking write","Sprint 1 T01-T02; Sprint 2 DR04-DR05"
"FM-06","Diagnostic code and reason","ServiceRequest.code; ServiceRequest.reasonReference or reasonCode where available","Synthetic ultrasound code and supporting reason context","Ordering source system","Display minimum order context and support handoff completeness","Read source; no source write","Order Created; referral handoff","Missing context is visible; do not invent clinical reason","Clinical content remains source/physician-controlled","Sprint 1 tracer_patient.md; Sprint 2 DR01"
"FM-07","Requester and authored time","ServiceRequest.requester; ServiceRequest.authoredOn","Requesting practitioner reference and order time","Ordering source system","Attribution and timeline ordering","Read source","Audit timeline; order workflow","Missing attribution remains a data-quality issue","Do not infer authority from requester alone","Sprint 2 system_of_record_table.csv"
"FM-08","Diagnostic completion event","Internal/source operational completion event; source event timestamp","Completion event and event time","Diagnostic source/operations","Record Diagnostic Completed without implying result availability","Read source; internal state record","Diagnostic Completed","Result never arrives remains overdue; no inferred result; DiagnosticReport.status alone does not prove completion","Operational event, not clinical interpretation","Sprint 1 T03; failure_path_map.md"
"FM-09","Observation identity and status","Observation.id; Observation.status","Observation ID and source status","Diagnostic source system","Link supporting evidence to the current report without treating Observation presence as result completion","Read source; no source correction","Result Available; Result Incomplete","Conflicting, incomplete or unreferenced values remain unresolved and cannot advance state","Clinical values are source-authoritative; minimum necessary fields only","Sprint 1 T04/E04; D14"
